GAME 1;GAME 2;GAME 3;GAME 4;GAME 5
C;P;B;B;B
H;P;T;P;B
H;H;T;C;P
T;P;H;P;T
T;P;C;H;B
B;H;T;B;H
T;H;P;H;H
P;C;C;H;B
B;C;C;C;B
C;B;H;B;H
B;H;T;T;B
H;B;H;T;P
B;B;H;C;H
T;P;T;B;H
T;C;P;B;T
H;C;C;C;C
H;B;H;C;H
T;C;B;P;B
C;C;T;C;T
T;B;P;C;H
B;H;T;T;C
C;B;B;T;C
H;T;H;P;T
T;B;C;H;T
H;P;T;B;H
B;C;H;H;C
P;T;H;H;H
B;B;P;C;C
C;H;C;H;H
T;B;B;C;H
H;H;B;P;C
P;C;C;H;T
B;P;C;C;B
P;H;H;T;C
H;H;B;C;H
H;B;T;H;T
T;H;P;T;H
T;T;B;B;C
B;H;T;H;H
H;C;P;C;T
C;T;T;H;T
T;H;T;H;P
C;T;C;T;T
T;B;P;P;C
H;H;P;C;T
H;P;H;P;B
T;C;P;T;H
P;B;C;H;C
C;H;B;P;B
P;B;B;T;T
H;C;T;T;H
P;T;P;B;B
T;H;H;H;B
B;C;T;C;P
B;B;T;P;T
C;P;P;H;H
H;B;H;C;H
C;T;P;B;B
C;P;H;B;B
H;T;H;H;H
C;P;C;B;P
B;B;T;T;B
C;T;P;H;T
T;H;C;B;P
T;H;P;H;H
H;B;C;B;C
H;B;P;T;P
T;P;T;C;P
B;P;H;C;C
H;B;P;H;P
T;P;H;B;T
H;B;T;C;B
C;B;T;C;C
C;H;H;H;H
B;P;T;C;T
C;H;H;H;C
P;C;B;H;H
B;B;T;C;T
P;H;B;H;T
B;B;T;B;H
T;P;H;P;T
T;T;T;H;P
C;C;B;C;H
C;T;H;C;C
T;H;C;H;T
B;T;T;H;T
B;H;T;B;C
H;C;C;T;B
T;C;C;H;H
T;H;H;B;B
H;H;P;T;C
H;C;H;C;B
T;H;H;B;C
B;C;C;B;H
P;T;P;C;B
T;B;T;C;P
H;H;T;H;C
P;H;B;B;P
T;C;C;P;H
T;T;C;H;B
P;T;H;H;P
C;H;H;B;B
C;P;T;T;B
T;H;B;H;H
H;B;P;B;T
B;P;H;T;P
B;H;B;H;C
C;C;B;P;H
T;B;H;H;P
T;H;P;H;P
C;B;T;B;H
B;B;H;P;B
P;C;H;C;P
H;H;B;T;C
H;P;C;P;H
C;P;H;T;C
C;T;B;H;H
T;B;H;C;B
P;B;T;P;T
B;P;B;H;P
P;H;B;H;T
C;B;P;T;C
B;B;C;P;T
T;P;C;B;C
C;P;T;H;B
C;C;T;B;P
H;H;B;B;B
T;B;H;T;B
P;P;H;C;H
H;C;T;C;C
H;H;B;T;B
B;B;P;B;B
C;T;B;P;P
B;C;H;B;B
C;P;B;C;T
H;C;C;B;P
P;H;T;P;P
B;T;C;P;T
C;H;T;B;T
P;C;P;B;B
B;T;T;H;C
H;T;H;C;P
P;B;H;H;C
T;H;B;B;H
C;B;C;P;T
H;T;P;C;P
C;B;P;P;C
P;P;T;C;B
C;H;B;H;T
P;C;T;C;H
B;B;B;C;H
C;B;P;P;T
P;H;C;B;C
C;H;C;C;H
T;C;P;H;B
T;B;B;P;H
C;P;C;P;H
P;P;H;B;C
C;H;T;T;T
P;B;T;H;C
C;P;B;C;B
T;C;B;H;C
P;T;P;H;P
P;H;H;T;P
H;T;C;C;B
C;H;P;T;B
H;H;H;H;H
P;C;H;H;B
P;P;P;C;
B;H;C;T;
B;B;P;B;
C;P;H;B;
T;P;C;P;
H;H;H;P;
B;B;B;H;
B;T;H;C;
T;H;H;H;
H;H;T;H;
B;C;T;C;
B;B;B;H;
P;C;H;H;
H;C;B;C;
P;H;C;P;
B;B;P;C;
T;H;B;B;
C;P;T;H;
B;P;H;H;
B;B;C;B;
C;C;C;C;
C;C;H;B;
H;T;P;B;
P;T;H;H;
P;B;T;P;
H;T;B;C;
H;H;C;H;
C;T;B;B;
C;C;C;C;
H;C;C;H;
P;P;P;C;
H;C;T;C;
P;P;H;P;
P;P;P;C;
H;H;C;T;
T;T;T;C;
B;B;;H;
B;H;;P;
H;;;H;
C;;;C;
T;;;T;
T;;;B;
C;;;H;
P;;;H;
H;;;C;
P;;;T;
H;;;B;
C;;;C;
H;;;P;
B;;;P;
T;;;C;
H;;;T;
P;;;T;
T;;;C;
H;;;B;
C;;;P;
H;;;B;
P;;;H;
C;;;B;
B;;;T;
P;;;H;
C;;;P;
P;;;B;
B;;;C;
P;;;B;
B;;;B;
H;;;H;
P;;;H;
C;;;C;
T;;;;
C;;;;
B;;;;
B;;;;
T;;;;
B;;;;
C;;;;
P;;;;
B;;;;
T;;;;
B;;;;
T;;;;
B;;;;
B;;;;
P;;;;
B;;;;
H;;;;
H;;;;
B;;;;
H;;;;
P;;;;
H;;;;
B;;;;
C;;;;
H;;;;
P;;;;
P;;;;
B;;;;
T;;;;
P;;;;
P;;;;
C;;;;
H;;;;
B;;;;
P;;;;
B;;;;
B;;;;
H;;;;
P;;;;
H;;;;
T;;;;
C;;;;
C;;;;
H;;;;
P;;;;
C;;;;
C;;;;
B;;;;
P;;;;
B;;;;
B;;;;
H;;;;
P;;;;
H;;;;
B;;;;
P;;;;
P;;;;
H;;;;
P;;;;
T;;;;
